회사명	18_fscore	17_fscore
현대에이치씨엔	5	5
이니텍	5	5
삼원테크	5	5
원익홀딩스	5	5
아이앤씨	5	5
한솔홀딩스	5	5
휴온스	5	5
동원F&B	5	5
디티알오토모티브	5	5
리노스	5	5
한국기업평가	5	5
세방	5	5
하이록코리아	5	5
이노메트리	5	5
테고사이언스	5	5
미래컴퍼니	5	5
지엠피	5	5
두올	5	5
삼성제약	5	5
신라에스지	5	5
코렌텍	5	5
CJ대한통운	5	5
국보디자인	5	5
알에스오토메이션	5	5
파인테크닉스	5	5
에스에너지	5	5
우원개발	5	5
삼보모터스	5	5
동진쎄미켐	5	5
이디	5	5
LG	5	5
SH에너지화학	5	5
신송홀딩스	5	5
케이피에스	5	5
에이치엘비	5	5
성문전자	5	5
호전실업	5	5
한일철강	5	5
셀리버리	5	5
남선알미늄	5	5
세아홀딩스	5	5
한컴MDS	5	5
현대오토에버	5	5
와이솔	5	5
아세아	5	5
풀무원	5	5
지란지교시큐리티	5	5
이지웰페어	5	5
코리아나	5	5
넥센	5	5
대한제분	5	5
평화정공	5	5
아이리버	5	5
이엠넷	5	5
서연탑메탈	5	5
하이골드8호	5	5
EMW	5	5
강원랜드	5	5
성광벤드	5	5
대한제강	5	5
강남제비스코	5	5
금강공업	5	5
삼성공조	5	5
한컴시큐어	5	5
NHN엔터테인먼트	5	5
오가닉티코스메틱	5	5
금강철강	5	5
현대중공업	5	5
코디	5	5
웰크론강원	5	5
MP그룹	5	5
진원생명과학	5	5
상상인	5	5
S&T홀딩스	5	5
덕양산업	5	5
제이씨케미칼	5	5
흥국에프엔비	5	5
제이브이엠	5	5
삼광글라스	5	5
칩스앤미디어	5	5
대웅	5	5
에넥스	5	5
신성통상	5	5
삼륭물산	4	4
이수화학	4	4
이라이콤	4	4
비츠로테크	4	4
알서포트	4	4
금호타이어	4	4
미래나노텍	4	4
위지트	4	4
대창스틸	4	4
미스터블루	4	4
티웨이홀딩스	4	4
엔케이물산	4	4
NHN한국사이버결제	4	4
피에스텍	4	4
동양	4	4
예스24	4	4
현대건설기계	4	4
이미지스	4	4
미래생명자원	4	4
에코마케팅	4	4
크리스탈	4	4
일진머티리얼즈	4	4
사조대림	4	4
하이트진로홀딩스	4	4
AJ렌터카	4	4
GKL	4	4
인크로스	4	4
한국석유공업	4	4
한국선재	4	4
바이오로그디바이스	4	4
감마누	4	4
모베이스	4	4
화천기공	4	4
KD건설	4	4
디딤	4	4
세진티에스	4	4
CJ제일제당	4	4
선도전기	4	4
디씨엠	4	4
아이텍반도체	4	4
와이제이엠게임즈	4	4
정다운	4	4
네오펙트	4	4
이화산업	4	4
NICE	4	4
뷰웍스	4	4
와이엠티	4	4
KEC	4	4
쇼박스	4	4
한국콜마	4	4
비덴트	4	4
코데즈컴바인	4	4
선데이토즈	4	4
한화	4	4
NAVER	4	4
서울옥션	4	4
홈센타홀딩스	4	4
현대바이오	4	4
고려제강	4	4
글로벌에스엠	4	4
서산	4	4
키위미디어그룹	4	4
롯데관광개발	4	4
카페24	4	4
SBI핀테크솔루션즈	4	4
사조산업	4	4
동국S&C	4	4
케이디켐	4	4
부광약품	4	4
이엠텍	4	4
디티앤씨	4	4
핸즈코퍼레이션	4	4
티웨이항공	4	4
대동공업	4	4
상신브레이크	4	4
TPC	4	4
율촌화학	4	4
나노스	4	4
시공테크	4	4
한솔로지스틱스	4	4
일지테크	4	4
하이스틸	4	4
유진기업	4	4
성도이엔지	4	4
씨아이테크	4	4
동원산업	4	4
엘앤케이바이오	4	4
세화아이엠씨	4	4
피앤이솔루션	4	4
우진	4	4
노바텍	4	4
오뚜기	4	4
티비씨	4	4
동부건설	4	4
지엘팜텍	4	4
이엑스티	4	4
심텍	4	4
삼표시멘트	4	4
해성옵틱스	4	4
써니전자	4	4
LG상사	4	4
동아화성	4	4
HSD엔진	4	4
노바렉스	4	4
골드퍼시픽	4	4
우리손에프앤지	4	4
신화콘텍	4	4
이녹스	4	4
코오롱인더	4	4
로체시스템즈	4	4
세우글로벌	4	4
아이티센	4	4
오스템임플란트	4	4
이즈미디어	4	4
포스코강판	4	4
대성산업	4	4
코오롱	4	4
아이큐어	4	4
에스티큐브	4	4
