code,market_type,date,present_value,quant,buy_total,sell_total,market_sum,per,pbr
033270,0,2018-04-30,28350,111319,9630,9748,4595,16.49,2.08
004490,0,2018-04-30,32500,7112,4534,4177,4550,6.84,0.5
004690,0,2018-04-30,111500,3800,3803,1410,4521,34.21,0.32
002390,0,2018-04-30,32850,72994,4278,3096,4521,84.88,1.44
033660,0,2018-04-30,7780,42132,9965,11926,4477,8.61,0.63
007630,0,2018-04-30,14200,339652,23856,11027,4469,-86.06,16.16
016450,0,2018-04-30,11050,95119,6335,18105,4420,13.95,1.53
006390,0,2018-04-30,26300,710912,11014,4867,4407,7.17,2.11
082740,0,2018-04-30,6280,688786,55965,105378,4365,-42.15,0.8
036580,0,2018-04-30,11850,29663,22642,23886,4352,10.98,1.34
017390,0,2018-04-30,86600,313,146,556,4330,11.92,0.37
002960,0,2018-04-30,333000,1467,1276,303,4329,17.86,4.35
002210,0,2018-04-30,17400,995986,69739,32684,4308,-1933.33,6.03
017940,0,2018-04-30,62500,4404,910,1203,4288,5.08,0.31
078520,0,2018-04-30,17250,158230,39456,24960,4282,37.18,1.4
011810,0,2018-04-30,23850,0,0,0,4260,1.14,10.72
004870,0,2018-04-30,5960,909768,118949,54244,4229,13.76,5.06
070960,0,2018-04-30,8770,3117592,18476,20119,4221,24.91,1.03
281820,0,2018-04-30,21200,88671,5357,2938,4206,6.29,2.05
102460,0,2018-04-30,25000,72084,2456,6220,4192,31.25,1.79
000400,0,2018-04-30,3095,300726,79057,49828,4156,5.57,0.75
234080,0,2018-04-30,26200,216785,17636,3055,4149,24.72,4.06
101060,0,2018-04-30,2960,62053,25186,8390,4141,87.06,0.6
044820,0,2018-04-30,42950,72202,1950,1675,4125,107.38,1.42
008730,0,2018-04-30,16600,19172,8969,6839,4117,15.08,1.23
074610,0,2018-04-30,18800,715982,51297,13145,4115,-32.47,30.58
010050,0,2018-04-30,610,3224172,421313,391036,4113,14.88,1.41
213500,0,2018-04-30,17200,127342,16812,36745,4094,9.49,0.78
009580,0,2018-04-30,6560,407930,15404,17753,4091,11.21,0.73
000050,0,2018-04-30,14900,44470,22381,2149,4085,16.14,0.58
008060,0,2018-04-30,8330,65722,14054,8615,4065,11.41,0.67
002000,0,2018-04-30,40300,4946,334,683,4062,3.09,0.61
016580,0,2018-04-30,21650,160828,13243,10878,4027,14.82,1.36
007690,0,2018-04-30,69200,90704,1013,5108,4021,9.79,0.86
030210,0,2018-04-30,6620,698183,30622,38833,3993,13.01,0.96
015350,0,2018-04-30,36050,1105,1547,235,3966,8.81,0.62
008490,0,2018-04-30,34050,28074,2572,4404,3939,17.07,1.44
001510,0,2018-04-30,1215,2539888,1068810,1309911,3889,20.95,0.87
005720,0,2018-04-30,7190,18534,68777,18160,3850,4.83,0.45
196230,0,2018-04-30,103455,1322,19199,11479,3850,,
00088K,0,2018-04-30,17050,18905,16328,14100,3831,4.12,0.35
136490,0,2018-04-30,16100,76837,4263,14260,3829,5.59,1.19
003220,0,2018-04-30,20000,58957,19888,8296,3820,35.59,2.24
010955,0,2018-04-30,94600,5392,2102,4431,3805,8.85,1.61
005810,0,2018-04-30,48450,3475,379,1190,3796,5.66,0.47
030790,0,2018-04-30,4000,2105492,48803,41758,3773,-12.2,4.67
030610,0,2018-04-30,10400,81003,28720,35833,3744,5.11,0.44
002795,0,2018-04-30,57700,6848,2145,982,3718,25.32,1.6
000540,0,2018-04-30,5740,25977,15241,3110,3688,4.39,0.59
016590,0,2018-04-30,91300,71093,1304,1897,3679,12.98,1.34
004380,0,2018-04-30,17500,143078,10223,6109,3675,13.01,2.0
037710,0,2018-04-30,229000,331,259,115,3664,7.66,0.63
001725,0,2018-04-30,51800,2171,881,662,3654,13.76,0.44
001200,0,2018-04-30,3770,475651,44476,30176,3652,6.51,0.52
097230,0,2018-04-30,3380,374428,24391,43559,3585,-1.29,0.62
003060,0,2018-04-30,4125,2975456,197147,33886,3580,-20.62,4.48
001390,0,2018-04-30,28500,140113,2527,9411,3543,78.73,1.41
016800,0,2018-04-30,30800,2346,970,896,3542,16.06,0.76
007160,0,2018-04-30,70700,11062,2937,2609,3535,8.08,0.91
094800,0,2018-04-30,3800,35126,25924,28701,3528,,
104700,0,2018-04-30,38300,0,0,0,3527,-8.13,0.49
001630,0,2018-04-30,69800,18203,2364,1779,3497,7.28,0.86
001500,0,2018-04-30,11850,93983,10373,58275,3476,6.93,0.41
002150,0,2018-04-30,10300,4600293,58662,226453,3473,29.68,1.47
002780,0,2018-04-30,2375,365782,21084,33852,3452,14.48,4.58
214420,0,2018-04-30,19400,159624,9971,11024,3422,-62.18,2.97
009680,0,2018-04-30,10300,47726,19094,8130,3399,26.75,0.58
084690,0,2018-04-30,9380,67448,2793,15310,3397,13.42,0.68
292190,0,2018-04-30,14935,1101501,5669,46343,3375,,
214390,0,2018-04-30,14100,170040,21407,25814,3371,18.77,2.38
001780,0,2018-04-30,4520,2651430,37125,13923,3368,26.28,1.63
152330,0,2018-04-30,16800,25543,8542,8775,3360,7.51,1.06
000480,0,2018-04-30,83400,41,468,165,3336,24.31,0.49
000155,0,2018-04-30,75000,16377,1414,680,3308,47.05,0.6
161510,0,2018-04-30,13080,30601,33877,38033,3304,,
002030,0,2018-04-30,150500,15948,488,536,3297,7.54,0.42
001250,0,2018-04-30,3995,2476038,17466,34550,3297,15.61,0.9
016880,0,2018-04-30,4520,1546447,52061,21564,3285,129.14,0.91
002250,0,2018-04-30,27650,1149,906,2042,3279,31.53,1.69
007340,0,2018-04-30,32750,2044,447,522,3273,14.89,0.58
122900,0,2018-04-30,9070,138420,16373,7557,3260,42.38,0.83
000970,0,2018-04-30,14200,989069,14137,62442,3238,13.27,1.23
000020,0,2018-04-30,11550,243940,77127,35447,3226,6.86,1.07
005420,0,2018-04-30,20850,672011,35300,17668,3224,13.59,2.95
176950,0,2018-04-30,49390,1025,34802,34370,3209,,
001130,0,2018-04-30,188000,3981,387,1124,3177,6.22,0.44
005070,0,2018-04-30,19350,0,0,0,3150,36.37,4.25
027390,0,2018-04-30,52300,121120,3000,10859,3138,-29.38,1.28
003560,0,2018-04-30,2140,1101675,153338,70988,3129,125.88,1.35
102260,0,2018-04-30,6820,158337,15281,56344,3099,31.57,1.01
