,code,m_ics,w_ics,year,total_asset,lt_debt,lt_borrowing,current_asset,current_liabilities,shareholder_equity,stock_issued,intangible_asset,operating_income,extra_income,total_sales,gross_profit,cogs,cf_operation
2393,006730,도매,상업서비스와공급품,2015,8786.0,2248.5,759.5,445.2,2650.0,3887.6,34332.0,4.3,121.3,-152.8,550.0,422.5,127.5,550.0
2394,006730,도매,상업서비스와공급품,2016,11099.0,3385.2,1817.0,614.0,3188.4,4525.3,34332.0,3.0,131.1,-5.4,559.0,444.9,114.1,559.0
2395,032190,도매,소프트웨어,2012,50508.7,2054.4,740.0,44060.5,20878.0,11471.5,35700.0,749.3,1028.5,86.4,9149.4,3141.2,6008.1,9149.4
2396,032190,도매,소프트웨어,2013,50774.6,1893.5,537.6,42566.7,15347.8,12143.3,35700.0,1244.3,966.0,52.5,9742.2,3272.3,6469.9,9742.2
2397,032190,도매,소프트웨어,2014,55931.5,1802.4,347.9,47701.7,16579.5,13064.7,35700.0,1322.7,1374.0,20.4,10370.8,3925.3,6445.5,10370.8
2398,032190,도매,소프트웨어,2015,71334.4,3736.0,1084.6,60353.5,19490.3,15412.0,35700.0,1260.5,2744.0,36.9,12868.4,5435.5,7432.9,12868.4
2399,032190,도매,소프트웨어,2016,99012.1,4484.4,1697.6,82942.6,35583.3,17160.3,38300.0,1242.2,2641.7,-27.4,13783.7,5517.5,8266.2,13783.7
2400,025900,"종이,목재",건축자재,2012,13510.8,3660.4,1903.2,1615.7,3351.5,6498.9,20116.0,211.9,94.7,76.5,4021.3,774.4,3246.9,4021.3
2401,025900,"종이,목재",건축자재,2013,10642.0,1709.6,862.8,1766.7,4408.5,4523.9,15357.0,198.1,-22.4,-35.3,4235.7,620.7,3615.0,4235.7
2402,025900,"종이,목재",건축자재,2014,10626.5,1971.6,954.8,1821.0,3718.9,4936.0,15357.0,256.0,561.9,-31.1,5652.5,1247.5,4404.9,5652.5
2403,025900,"종이,목재",건축자재,2015,11438.9,2029.2,521.0,2423.0,3705.1,5704.6,14357.0,377.1,787.0,18.2,6746.7,1809.9,4936.7,6746.7
2404,025900,"종이,목재",건축자재,2016,12109.3,2035.4,753.9,2781.8,3778.9,6295.0,14357.0,377.1,827.6,-44.6,6906.9,1937.0,4969.9,6906.9
2405,044490,금속,기계,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406,044490,금속,기계,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,044490,금속,기계,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2408,044490,금속,기계,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2409,044490,금속,기계,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2410,013120,종합건설,건설,2012,4197.5,425.6,362.7,4012.8,1348.8,2423.1,9081.0,1.8,418.5,28.2,3848.6,524.1,3324.5,3848.6
2411,013120,종합건설,건설,2013,3871.0,469.7,309.8,3758.5,679.7,2721.6,9081.0,1.8,443.0,-1.3,3182.6,562.3,2620.4,3182.6
