,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
279,011790,2016,1,1,0,1,0,1,0,0,0,4
280,011210,2012,0,0,0,0,0,0,1,0,0,1
281,011210,2013,1,1,0,1,0,1,1,0,0,5
282,011210,2014,1,1,0,1,0,1,0,0,1,5
283,011210,2015,1,1,0,1,0,1,1,0,0,5
284,011210,2016,1,1,0,1,0,1,1,0,0,5
285,181710,2012,0,0,0,0,0,0,1,0,0,1
286,181710,2013,1,1,0,0,0,1,1,0,0,4
287,181710,2014,1,1,0,1,0,1,1,0,0,5
288,181710,2015,0,1,0,1,1,1,0,0,1,5
289,181710,2016,1,1,1,1,1,1,1,0,0,7
290,000080,2012,0,0,0,0,0,0,1,0,0,1
291,000080,2013,1,1,0,1,0,1,1,0,0,5
292,000080,2014,1,1,0,1,0,1,1,0,0,5
293,000080,2015,1,1,1,1,1,1,1,1,1,9
294,000080,2016,1,1,0,1,0,1,1,1,0,6
295,001740,2012,0,0,0,0,0,0,1,0,0,1
296,001740,2013,1,1,0,1,0,1,1,0,0,5
297,001740,2014,1,1,1,1,0,1,1,1,1,8
298,001740,2015,1,1,0,1,0,1,1,0,0,5
299,001740,2016,1,1,0,1,0,1,1,0,0,5
300,005440,2012,0,0,0,0,0,0,1,0,0,1
301,005440,2013,1,1,0,1,0,1,1,0,0,5
302,005440,2014,1,1,1,1,0,1,1,0,1,7
303,005440,2015,1,1,1,1,1,1,1,1,1,9
304,005440,2016,1,1,1,1,1,1,1,1,1,9
305,003240,2012,0,0,0,0,0,0,1,0,0,1
306,003240,2013,1,1,0,1,0,1,1,0,0,5
307,003240,2014,1,1,0,1,0,1,1,1,0,6
308,003240,2015,1,1,1,1,0,1,1,1,0,7
309,003240,2016,1,1,1,1,1,1,1,1,0,8
310,064350,2012,0,0,0,0,0,0,1,0,0,1
311,064350,2013,1,1,0,1,0,1,1,0,0,5
312,064350,2014,1,1,0,1,0,1,1,0,0,5
313,064350,2015,0,1,0,1,0,1,1,0,1,5
314,064350,2016,1,1,1,1,1,1,1,1,0,8
315,057050,2012,0,0,0,0,0,0,1,0,0,1
316,057050,2013,1,1,0,1,0,1,1,0,0,5
317,057050,2014,1,1,0,1,0,1,1,0,0,5
318,057050,2015,1,1,0,1,0,1,1,0,1,6
319,057050,2016,1,1,0,1,0,1,1,0,0,5
320,111770,2012,0,0,0,0,0,0,1,0,0,1
321,111770,2013,1,1,0,1,0,1,1,0,0,5
322,111770,2014,1,1,0,1,0,1,1,1,0,6
323,111770,2015,1,1,0,1,0,1,1,1,1,7
324,111770,2016,1,1,0,1,1,1,1,0,0,6
325,103140,2012,0,0,0,0,0,0,1,0,0,1
326,103140,2013,1,1,0,1,0,1,1,0,0,5
327,103140,2014,1,1,0,1,0,1,1,0,0,5
328,103140,2015,1,1,0,1,1,1,1,1,0,7
329,103140,2016,1,1,1,1,1,1,1,1,1,9
330,180640,2012,0,0,0,0,0,0,1,0,0,1
331,180640,2013,1,1,0,0,0,1,1,0,0,4
332,180640,2014,1,1,0,1,0,1,0,1,0,5
333,180640,2015,1,1,0,1,1,1,0,0,0,5
334,180640,2016,1,1,1,1,1,1,0,0,1,7
335,003300,2012,0,0,0,0,0,0,1,0,0,1
336,003300,2013,1,1,0,1,0,1,1,0,0,5
337,003300,2014,1,1,0,1,0,1,1,0,1,6
338,003300,2015,1,1,0,1,1,1,1,0,1,7
339,003300,2016,1,1,0,1,0,1,1,0,1,6
340,010780,2012,0,0,0,0,0,0,1,0,0,1
341,010780,2013,1,1,0,1,0,1,1,0,0,5
342,010780,2014,1,1,1,1,0,1,1,1,1,8
343,010780,2015,1,1,1,1,0,1,0,1,0,6
344,010780,2016,1,1,1,1,1,1,0,0,1,7
345,005300,2012,0,0,0,0,0,0,1,0,0,1
346,005300,2013,1,1,0,1,0,1,1,0,0,5
347,005300,2014,1,1,0,1,0,1,1,0,0,5
348,005300,2015,1,1,1,1,0,1,1,1,1,8
349,005300,2016,1,1,0,1,1,1,1,1,0,7
350,002350,2012,0,0,0,0,0,0,1,0,0,1
351,002350,2013,1,1,0,1,0,1,1,0,0,5
352,002350,2014,1,1,1,1,0,1,0,1,0,6
353,002350,2015,1,1,0,1,1,1,1,1,0,7
354,002350,2016,1,1,1,1,1,1,1,1,1,9
355,001120,2012,0,0,0,0,0,0,1,0,0,1
356,001120,2013,1,1,0,1,0,1,1,0,0,5
357,001120,2014,1,1,1,1,0,1,1,1,0,7
358,001120,2015,1,1,0,1,0,1,1,0,1,6
359,001120,2016,1,1,1,1,0,1,1,1,0,7
360,001230,2012,0,0,0,0,0,0,1,0,0,1
361,001230,2013,1,1,0,1,0,1,1,0,0,5
362,001230,2014,0,1,0,1,0,1,0,0,0,3
363,001230,2015,1,1,1,1,1,1,0,1,0,7
364,001230,2016,1,1,1,1,1,1,0,1,1,8
365,001430,2012,0,0,0,0,0,0,1,0,0,1
366,001430,2013,1,1,0,1,0,1,1,0,0,5
367,001430,2014,1,1,1,1,0,1,1,1,1,8
368,001430,2015,1,1,1,1,0,1,1,1,1,8
369,001430,2016,1,1,0,1,1,1,1,0,0,6
370,006840,2012,0,0,0,0,0,0,1,0,0,1
