,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
1374,009270,2016,1,1,0,1,1,1,1,0,0,6
1379,012030,2016,1,1,1,1,1,1,0,1,1,8
1384,227840,2016,1,1,0,1,1,1,1,0,0,6
1389,075180,2016,1,1,0,1,1,1,1,0,0,6
1394,092440,2016,1,1,0,1,1,1,1,1,0,7
1399,078000,2016,1,1,0,1,1,1,1,1,0,7
1404,063160,2016,1,1,1,1,1,1,1,1,1,9
1409,000850,2016,1,1,0,1,1,1,1,0,0,6
1414,016740,2016,1,1,0,1,1,1,1,1,0,7
1419,009440,2016,1,1,1,1,1,1,1,1,1,9
1424,002170,2016,1,1,1,1,0,1,1,1,0,7
1429,016710,2016,1,1,1,1,0,1,1,1,0,7
1434,034590,2016,1,1,1,1,1,1,1,1,0,8
1439,006090,2016,1,1,1,1,1,1,1,1,0,8
1444,005800,2016,1,1,0,1,1,1,1,1,0,7
1449,004910,2016,1,1,0,1,0,1,1,1,0,6
1454,001340,2016,1,1,1,1,0,1,1,1,1,8
1459,009160,2016,1,1,1,1,1,1,1,1,0,8
1464,107590,2016,1,1,0,1,1,1,1,1,0,7
1469,023000,2016,1,1,0,1,1,1,1,0,0,6
1474,006370,2016,0,1,0,1,0,1,1,0,0,4
1479,002100,2016,1,1,0,1,1,1,1,0,0,6
1484,034300,2016,1,1,1,1,0,1,1,0,1,7
1489,016090,2016,1,1,1,1,1,1,1,1,1,9
1494,025750,2016,1,1,1,1,1,1,0,1,0,7
1499,001530,2016,1,1,1,1,1,1,0,1,1,8
1504,003480,2016,1,1,1,1,1,1,1,0,1,8
1509,014530,2016,1,1,1,1,0,1,0,1,0,6
1514,008350,2016,1,1,1,1,1,1,1,0,0,7
1519,003080,2016,1,1,0,1,1,1,0,0,1,6
1524,002300,2016,1,1,1,1,1,1,1,1,0,8
1529,111110,2016,1,1,0,1,1,1,0,1,0,6
1534,002900,2016,1,1,0,1,0,1,1,0,1,6
1539,015230,2016,1,1,0,1,1,1,1,1,0,7
1544,037270,2016,0,1,1,1,0,1,0,1,1,6
1549,100840,2016,1,1,0,1,1,1,1,0,0,6
1554,058860,2016,1,1,1,1,0,1,1,0,0,6
1559,085310,2016,0,1,0,1,1,1,1,0,0,5
1564,010960,2016,1,1,1,1,1,1,1,1,0,8
1569,017040,2016,1,1,1,1,1,1,1,0,1,8
1574,005750,2016,1,1,1,1,0,1,0,0,1,6
1579,023800,2016,1,1,0,1,0,1,1,1,0,6
1584,053690,2016,1,1,0,1,0,0,0,1,1,5
1589,009200,2016,1,1,0,1,1,1,1,0,0,6
1594,014710,2016,1,1,1,1,0,1,1,1,1,8
1599,068290,2016,1,1,1,1,0,1,1,1,1,8
1604,004450,2016,1,1,1,1,1,1,1,1,0,8
1609,012800,2016,1,1,1,1,1,1,1,1,0,8
1614,005010,2016,1,1,0,1,0,1,1,1,0,6
1619,047400,2016,1,1,1,1,1,1,1,1,1,9
1624,163560,2016,1,1,0,1,1,1,0,1,0,6
1629,012160,2016,1,1,0,1,0,1,0,0,1,5
1634,004080,2016,1,1,0,1,0,1,1,0,0,5
1639,002820,2016,1,1,1,1,1,1,0,1,0,7
1644,009770,2016,1,1,1,1,1,1,1,1,0,8
1649,120030,2016,1,1,0,1,1,1,1,1,0,7
1654,003280,2016,1,1,0,1,0,1,0,0,0,4
1659,058730,2016,1,1,1,1,0,1,0,1,0,6
1664,000500,2016,1,1,1,1,1,1,1,1,0,8
1669,012320,2016,1,1,1,1,0,1,1,1,0,7
1674,010770,2016,1,1,1,1,1,1,1,1,1,9
1679,008600,2016,1,1,0,1,0,1,1,1,0,6
1684,000590,2016,1,1,0,1,1,1,1,1,0,7
1689,014440,2016,1,1,1,1,1,1,1,1,0,8
1694,058850,2016,1,1,0,1,1,1,1,0,0,6
1699,002880,2016,1,1,0,1,1,1,0,1,0,6
1704,007590,2016,1,1,0,1,1,1,1,0,0,6
1709,000890,2016,0,1,0,1,0,1,0,0,0,3
1714,006660,2016,1,1,0,1,0,1,1,0,0,5
1719,007540,2016,1,1,1,1,1,1,1,0,1,8
1724,129260,2016,1,1,0,1,1,1,0,0,0,5
1729,002920,2016,1,1,1,1,0,1,1,1,0,7
1734,005190,2016,1,1,0,1,1,1,0,1,0,6
1739,006980,2016,1,1,0,1,0,1,1,1,0,6
1744,155660,2016,1,1,1,1,1,1,1,1,0,8
1749,008260,2016,1,1,1,1,1,1,1,1,0,8
1754,049800,2016,1,1,1,1,0,1,1,1,1,8
1759,014160,2016,1,1,0,1,1,1,0,0,1,6
1764,105840,2016,0,1,0,1,1,1,1,1,0,6
1769,004270,2016,1,1,1,1,1,1,1,1,1,9
1774,008250,2016,1,1,0,1,1,1,1,0,0,6
1779,000220,2016,1,1,1,1,0,1,1,1,0,7
1784,083420,2016,1,1,1,1,0,1,1,1,0,7
1789,003610,2016,1,1,0,1,0,1,1,1,1,7
1794,069730,2016,1,1,0,1,1,1,1,0,1,7
1799,018470,2016,0,1,1,1,1,1,1,1,1,8
1804,079660,2016,1,1,0,1,1,1,1,0,0,6
